Population (%),2015,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
3 - 10 ans,10.202861296793069,9.914462341037687,10.066122181333888,9.906917452848436,9.807060493258856,9.729223891089186,9.49378835809031,9.361919070437489,9.189899247705226,9.189897624147287
11 - 14 ans,5.198446558007749,4.960267152945243,5.123062276321156,5.082957725713734,5.097031105107203,5.152119525096201,5.160884352783662,5.16095539994258,5.1289436814534515,5.128942844759255
15 - 19 ans,6.202488416886426,6.144707755947825,6.37007784177861,6.320947935647764,6.32203588784873,6.318148735442178,6.363856725616633,6.379945865755439,6.392929316393429,6.392928698706283
20 - 24 ans,5.699213580315518,5.800670858776004,5.7900712540646175,5.7829500084431045,5.785039036697022,5.859135158559395,6.0028661112932,6.022949114661018,5.971936473633811,5.971936126102624
25 - 34 ans,12.300897381815073,12.486157856195508,12.256133595276339,12.13588497594871,11.973106318641884,11.89725100901467,11.770754388997597,11.763890677021397,11.777879692486582,11.777879079200208
35 - 49 ans,20.197770693257954,20.263998079902915,20.04322088024466,19.905812759211212,19.762168181529873,19.602413489595616,19.446598952629664,19.252812617918096,19.19080671334227,19.190803323141314
50 - 59 ans,13.79981569770877,13.70833818280301,13.576145267393441,13.599868431665008,13.51512283183858,13.484281597132478,13.505721743141807,13.547870235269697,13.513863702443176,13.513863122466407
60 ans et plus,26.398506375215447,26.721397772391818,26.77516670358728,27.26466071052202,27.73843614507786,27.957426594070267,28.255529367447135,28.509657018994293,28.833741172542048,28.83374918147662
total,100,100.0,100.0,99.99999999999999,100.0,100.0,100.00000000000001,100.0,100.0,99.99999999999999
,,,,,,,,,,
,,,,,,,,,,
Taux de pénétration (%),2015,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
3 - 10 ans,76.07492086048711,78.28201835774132,79.10511956406003,72.21899552792348,81.5570010453102,49.5044527081379,65.97086404521232,72.04926723289677,74.33526987046754,75.07189409636264
11 - 14 ans,84.7969591620148,86.22856361091131,85.77794725631482,86.51149420851159,88.1816506630375,64.2770289991154,72.17214059764831,80.240557636912,78.9048303345064,84.4804724123737
15 - 19 ans,90.2154323531468,88.354118281315,86.2286945447387,84.9901839778043,87.3223545335989,58.2286377037333,73.914497555706,83.4614299013391,86.6513580893701,84.79464716043181
20 - 24 ans,88.5665685897164,77.80198311914181,82.9690423744415,80.7629223348909,78.48518269363392,52.4185142650814,72.2683796920643,74.669596374677,82.8818870304152,82.3514808283745
25 - 34 ans,78.9937480079452,72.350399086984,77.2529374682627,69.0202071587184,72.1665092784124,45.1521763259089,54.5861981466876,67.15375272451818,72.54674178998211,67.1928577876556
35 - 49 ans,73.826566851024,72.3464369783414,73.5666623722103,69.86398629137182,76.66312507567791,44.1632140757738,53.429384013893696,65.3711957654416,65.8717763254414,69.65959364180509
50 - 59 ans,64.033591489149,61.600265609817995,61.0967605558459,63.1585359634831,64.1002340623315,40.554535082889096,44.6393488579996,61.7257329521949,54.133627067470705,61.5820520106797
60 ans et plus,47.9993788480111,51.0648948666167,46.8438709125798,47.1066553881515,48.0981420491525,33.0450374686162,33.700286677312505,45.4909787808345,47.9267211023218,47.4825982894443
total,68.94904016768996,67.76423971862278,67.70453863090523,65.31083846064128,68.34970602219373,43.61422532810255,51.396307709163345,62.52601143172804,63.687938968682744,64.86608118817652
,,,,,,,,,,
,,,,,,,,,,
Nombre de spectateurs (millions),2015,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
3 - 10 ans,4776157.4924233705,4863145.246886667,5007642.48334118,4488578.955533285,5026806.865215637,3044687.5201087333,3985071.711351934,4307672.508866972,4387211.849686293,4450547.280143046
11 - 14 ans,2712495.3943502475,2680046.183373443,2763578.53360417,2758729.9628927237,2824799.3557802266,2093447.0967854434,2369944.286680362,2644674.769421512,2599048.921422547,2795178.61831929
15 - 19 ans,3443197.5758902524,3401841.606091274,3454324.055483268,3370310.1124304095,3469560.7147961557,2325662.772027422,2992915.4304621923,3400564.702239983,3557608.958728731,3496984.2023666753
20 - 24 ans,3105988.894668613,2827840.754122408,3021109.817653671,2930085.842754785,2853553.799327482,1941504.8940734202,2760268.932321979,2872111.0351561876,3178760.0281689772,3172575.304109128
25 - 34 ans,5979221.786071146,5660513.2446495,5954358.987927551,5254925.834256426,5430435.19443071,3395827.1673278133,4088194.6716705402,5045096.701171694,5487416.940252627,5105233.096255455
35 - 49 ans,9175532.069246223,9186040.197312308,9272889.658892501,8724733.246115556,9521671.786515247,5472559.403371827,6611016.60311094,8037645.374347389,8118495.230444083,8623815.63975321
50 - 59 ans,5437462.746215124,5291191.176102224,5216283.497734504,5388720.299843534,5444671.850089122,3456905.490826714,3836013.0113795577,5340544.173912338,4698179.383062338,5368575.242368828
60 ans et plus,7797046.417921458,8550030.672652937,7887719.997306389,8057517.336031383,8384986.556403339,5840146.047199051,6058728.1470332,8282577.373910122,8874862.784622457,8832038.72329566
total,42427102.37678643,42460649.08119076,42577907.03194324,40973601.58985811,42956486.12255792,27570740.391720425,32702152.794010706,39930886.639026195,40901584.09638806,41844948.1066113
,,,,,,,,,,
,,,,,,,,,,
Structure du public (%),2015,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
3 - 10 ans,11.257326625814065,11.45329935392096,11.761128792883817,10.954806952201901,11.702090461668112,11.043183740626212,12.185961384419276,10.787820836056508,10.726263900555674,10.635805471198282
