Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"Retour au menu ""Public des salles de cinéma""",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Fréquentation cinématographique selon la catégorie professionnelle et le genre,,,,,,,,,,,,,,,,,,,,
(3 ans et plus),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CSP -,nd,nd,16267445.0936087,23347439.211702537,20613133.728252858,21573643.0197304,13065527.77138568,12486953.00447321,18481722.86253572,17575836.323464848,4236254.358293839,6997455.893444259,5495940.5978925815,8944343.386989003,13211124.969196107,14664031.621131577,19951452.807960466,18598380.006887868,15960385.346629364,15834223.385424344
inactifs,nd,nd,47644077.70132575,65857446.150271386,48126413.80255307,67541289.5815586,49855622.28443365,61047819.81962059,53796104.657615125,62083753.21482487,17465544.98838844,17129046.737431936,21616718.040554836,35301532.32271914,30864560.804443922,49654100.9434258,39290790.73959391,62566844.690826856,43803149.01442539,65146025.07211675
total,nd,nd,91841434.11292994,121363139.88707009,95623127.45936391,113789994.540636,98711106.99411489,102501828.00588505,109028724.76946847,104194917.23053148,32342524.17722603,32921189.82277394,40777894.334838495,54724679.66516155,68652920.08532202,83418107.91467783,79521897.05975,100909976.94024998,80707241.25334878,100817008.74665123
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Structure des entrées (%),2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,2024,
,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes
CSP +,nd,nd,13.100052589863992,15.083285466988228,12.837581366347223,11.782958824971344,17.78710545537023,14.396219200217548,17.235845380278057,11.506851427029732,16.304197506356672,13.475615549396633,14.308761663733874,10.972273852486323,16.1616809164215,12.559904145660445,11.239507223760052,10.94305113881112,11.537690910329626,10.927884450209897
CSP -,nd,nd,7.629970027570186,10.950721541134731,9.843286576976231,10.30195377142145,6.493383624360771,6.2058400989345985,8.6677643666436,8.242911601455924,6.4909795944095965,10.721816863570252,5.754756513570599,9.365552165106045,8.68747002170335,9.642883206610254,11.057609925372978,10.30770206758916,8.792425996322455,8.722924559900038
inactifs,nd,nd,22.34664895197124,30.88932142247163,22.98156550216231,32.2526539581214,24.77754339423241,30.339908226884415,25.229896719246135,29.116730505346528,26.761494125799278,26.245896360467526,22.634696778491897,36.963959026611306,20.296147931901874,32.65191377770248,21.77596999274857,34.67615965171811,24.1307423192358,35.88833176400219
total,nd,nd,43.07667156940542,56.923328430594594,45.66243344548577,54.3375665545142,49.05803247396341,50.941967526036564,51.133506466167795,48.866493533832184,49.55667122656554,50.44332877343441,42.698214955796374,57.301785044203676,45.14529887002672,54.85470112997318,44.0730871418816,55.926912858118385,44.46085922588788,55.53914077411213
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Nombre moyen d'entrées,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,2024,
,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes
CSP +,nd,nd,4.7383326369791785,6.293643271392067,4.369858803361783,4.786857405263925,6.137380238056709,5.561663919571567,5.969245205900492,4.4785788040658945,2.664945073520796,2.5152917621506945,2.8353780551523537,2.45148654454131,4.869348614994498,3.731713092764704,3.9065890392389346,3.989981434786658,3.996498391554894,3.669649357727542
CSP -,nd,nd,3.3288617647479364,4.276078422111407,4.262057671514661,4.074478986845439,2.9428200983347628,2.4905991088604433,4.291082580050698,3.370202737724966,1.4588698601580916,2.334508096659909,1.8384706576509662,2.5750314798559772,2.961975863048339,3.202794860235551,4.326943119831789,3.730643148104148,3.204423466267072,2.9397757250141114
inactifs,nd,nd,4.873925402503617,5.810379196348635,4.933439683763,5.932629745112102,5.272655566393038,5.537293004155338,5.403308049258813,5.2421489629306866,2.718445002461471,2.2086659741003323,2.690178430009063,3.875108534511095,3.3774641744159037,4.28491026611606,4.215888931848735,5.281736405420757,4.702378232189804,5.656626058689294
total,nd,nd,4.467746007997994,5.540658254279081,4.609761017021088,5.211527656748914,5.003915109789629,4.8243358646698375,5.339348084702818,4.623358578427597,2.427849372555116,2.310377334188557,2.5736508741466455,3.246257386064891,3.6819195812672594,3.919116276385901,4.158700295546225,4.633197706982574,4.131130953101255,4.519200682207871
"Source : CNC – Vertigo, enquête Cinexpert, spectateurs 12 derniers mois, 3 ans et plus.",,,,,,,,,,,,,,,,,,,,
