Population (%),2015,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
femmes,51.59948400516006,51.62021090220765,51.64000012235081,51.6999999999999,51.73999967610649,51.73000000000001,51.69000000000007,51.65000065166855,51.595000000000155,51.595000041240645
hommes,48.40051599483995,48.37978909779235,48.359999877649194,48.3000000000001,48.26000032389351,48.26999999999998,48.30999999999993,48.349999348331444,48.40499999999985,48.40499995875935
total,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
,,,,,,,,,,
,,,,,,,,,,
Taux de pénétration (%),2015,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
femmes,68.5266713260485,67.7204143662953,67.2335849358605,65.506538542361,69.3059366200548,43.5742442300429,51.2565442420832,64.5288056673391,65.729862504525,67.02536550827651
hommes,69.39932491859851,67.811000441896,68.2074345972256,65.1013623897317,67.3245222159037,43.6570722765722,51.5458497007465,60.3865217736368,61.5114480104806,62.56449509831919
total,68.94904016769021,67.76423971862287,67.70453863090516,65.31083846064104,68.3497060221938,43.61422532810259,51.396307709163445,62.52601143172799,63.68793896868282,64.86608118817637
,,,,,,,,,,
,,,,,,,,,,
Nombre de spectateurs (millions),2015,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
femmes,21758058.617239524,21904101.33910365,21834287.762682807,21246826.68894157,22536629.046403874,14249269.734260252,16857775.94225165,21284928.03780849,21779769.248389944,22308593.009283368
hommes,20669043.759546928,20556547.742087163,20743619.269260347,19726774.900916506,20419857.076154113,13321470.657460142,15844376.851759093,18645958.60121763,19121814.847998135,19536355.0973279
total,42427102.376786456,42460649.08119081,42577907.03194316,40973601.58985808,42956486.12255798,27570740.39172039,32702152.794010743,39930886.63902612,40901584.09638808,41844948.10661127
,,,,,,,,,,
,,,,,,,,,,
Structure du public (%),2015,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
femmes,51.28339527882587,51.58682642184741,51.280791576490834,51.854916005725634,52.463856056813476,51.682579182891175,51.54943788697322,53.30442128726949,53.24920716289143,53.31251206823395
hommes,48.71660472117412,48.413173578152595,48.71920842350915,48.14508399427436,47.53614394318654,48.31742081710883,48.45056211302676,46.69557871273051,46.75079283710857,46.68748793176605
total,100,100.0,99.99999999999999,100.0,100.0,100.0,100.0,100.0,100.0,100.0
,,,,,,,,,,
,,,,,,,,,,
Nombre d'entrées (millions),2015,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
femmes,nd,121363139.88707012,113789994.540636,102501828.00588518,104194917.23053144,32921189.822774015,54724679.66516154,83418107.91467787,100909976.94025019,100817008.7466513
hommes,nd,91841434.11293015,95623127.459364,98711106.99411497,109028724.7694684,32342524.177225985,40781893.44965123,68652920.08532204,79521897.05974984,80707241.25334881
total,nd,213204574.00000027,209413122.0,201212935.00000015,213223641.99999982,65263714.0,95502574.0,152071027.9999999,180431874.00000003,181524250.00000012
,,,,,,,,,,
,,,,,,,,,,
Structure des entrées (%),2015,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
femmes,nd,56.92332843059461,54.3375665545142,50.94196752603663,48.86649353383216,50.44332877343452,57.30178504420367,54.85470112997321,55.926912858118506,55.53914077411217
hommes,nd,43.07667156940552,45.6624334454858,49.05803247396345,51.133506466167766,49.55667122656548,42.69821495579634,45.145298870026735,44.07308714188151,44.460859225887894
total,nd,100.00000000000013,100.0,100.00000000000009,99.99999999999993,100.0,100.0,99.99999999999994,99.99999999999994,100.0
,,,,,,,,,,
,,,,,,,,,,
Nombre moyen d'entrées,2015,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
femmes,nd,5.540658254279081,5.211527656748922,4.82433586466984,4.623358578427577,2.310377334188566,3.2465757486535103,3.9194807385922106,4.632139963271817,4.519200682207878
hommes,nd,4.467746007997996,4.609761017021097,5.003915109789632,5.3393480847028005,2.4278493725551153,2.5739032737739693,3.6822619851255376,4.157750878024929,4.131130953101257
total,nd,5.021227386145764,4.918351713316775,4.910794443069048,4.963712380748678,2.367136793308567,2.9206621533947636,3.808710068845822,4.410359304786191,4.338020674264388
"Source : CNC – Vertigo, enquête Cinexpert, spectateurs 12 derniers mois, 3 ans et plus.",,,,,,,,,,
