Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"Retour au menu ""Public des salles de cinéma""",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Fréquentation cinématographique selon l'âge et le genre,,,,,,,,,,,,,,,,,,,,
(3 ans et plus),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Population (%),2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,2024,
,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes
3 - 10 ans,10.747489533845155,9.691997899476025,10.717049848519409,9.162256690075745,10.641677407322632,9.527124299992906,10.48261868775751,9.369076647314413,10.380628141950607,9.272070638505877,10.290880451154418,9.205134152942088,10.046985283464068,8.976764882276687,9.915402051928904,8.84379900351046,9.719862040752169,8.692702833373653,9.719863184979864,8.692698613976924
11 - 14 ans,5.57728787768663,4.843091931771748,5.366768808758566,4.579283347718074,5.413896512314556,4.850700859130362,5.381063790140578,4.804456315427121,5.4016566772826184,4.812894454471637,5.465541160809663,4.859661331477618,5.4767867861652295,4.865638723906445,5.476842852212731,4.865250503162202,5.433206624267428,4.843492615518563,5.433207263867593,4.843490394277232
15 - 19 ans,6.407954374200283,6.009760552546327,6.659173684432202,5.662537058016605,6.747725042963442,6.016417528846317,6.7123542930495415,5.955282035019016,6.729795338580679,5.941702077497309,6.727299487733494,5.9363643392870955,6.770434458634315,5.983865038983143,6.786073693553775,5.999766195636606,6.815266243439949,5.996704508685572,6.815267271056273,5.996702348074596
20 - 24 ans,5.990123702677589,5.426338757981278,6.069358525890489,5.548849867714928,6.061169949601725,5.536191841749703,6.0560260046791905,5.527832588361801,6.077121634488882,5.512601727994299,6.174117387558434,5.565220753112205,6.35439736716826,5.674321422352921,6.376552287254267,5.69193821536301,6.317397905525994,5.6478341262989655,6.317397085239633,5.6478342228288065
25 - 34 ans,12.396771363831883,12.210967215078677,12.633430233642226,12.348130396867633,12.471826223062981,12.054141042436283,12.356363485786453,11.929906019949483,12.174959515158742,11.784829639278408,12.120333107133172,11.689089924998065,12.029888435824715,11.528565071872162,12.062295582618782,11.484551338993557,12.093543327964024,11.481732812453867,12.093541943054834,11.481732923571606
35 - 49 ans,20.65911239903746,19.7650303850907,20.62049877581217,19.929876460098185,20.487213633586215,19.62742906292472,20.317190832108313,19.521488563448365,20.16451381791342,19.38688405582939,19.964364580549084,19.264671769890985,19.754517417672286,19.158815221807398,19.516430424204913,19.006037775684646,19.44800465444959,18.94951072847359,19.448002391637203,18.94950628098636
50 - 59 ans,13.842956824535197,13.759349153531945,13.76363886097045,13.656508965139095,13.729142243869614,13.432866147599748,13.753907948404715,13.4559591732796,13.704080600939339,13.338874241674484,13.68043841315524,13.301244877445296,13.712665328172546,13.312310162703863,13.74381988528944,13.364440122370825,13.723507202281782,13.317181977282122,13.723505519303068,13.317182432436017
60 ans et plus,24.378303924185797,28.2934641045233,24.1700812619745,29.112557214369737,24.447348987278836,28.955129217319957,24.940474958073697,29.43599865720021,25.367244273685717,29.95014316474859,25.5770254119065,30.178612850846648,25.854324922898584,30.499719476097376,26.12258322293718,30.744216845278682,26.44921200131906,31.070840397913656,26.44921534086153,31.07085278384846
total,100,99.99999999999999,100,100,100,100,100,100,100,100,100.00000000000001,100,100,100,100,100,100,100,99.99999999999999,100
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Taux de pénétration (%),2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,2024,
,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes,hommes,femmes
3 - 10 ans,78.40508420238804,73.65118818324899,81.18987925169894,75.09422164021112,79.47948573307387,78.7135175563307,70.0578126663498,74.47802084952163,80.89984312574367,82.24324344436992,49.070191597115475,49.957463106018416,65.00094386023943,66.98543498465118,70.07671292244238,74.11953526410369,73.0374433344662,75.6967287381164,75.51414062822283,74.60796397324675
11 - 14 ans,82.32395683230949,87.4683012530504,86.41307717326931,86.0258943609626,85.52538598188639,86.0419280158076,85.47701200752091,87.59393338427971,89.36794973062831,86.9397818306973,61.4667298521771,67.2262990237815,75.5344248650093,68.635011519281,80.1171982690122,80.3705516496966,74.5206478665777,83.5187370352289,82.4471944432227,86.6202921635207
15 - 19 ans,90.1253459645378,90.3055326148252,88.0967951413296,88.6377353235193,82.6681664806175,89.96836970253568,83.352448540012,86.7147223876875,89.29547063046111,85.23784193962089,51.966353197478696,64.8506171661778,73.1349648314085,74.7388247077578,84.5378620052521,82.321712896978,79.61784512235171,94.1507332060692,82.25271663290799,87.5049429041223
20 - 24 ans,88.8425564266506,88.2807940958998,81.9631322036355,73.5362145473151,84.0747310935273,81.8353942717039,81.8857700475339,79.61368349308822,76.25845995221219,80.77482876604189,52.53409711692451,52.2988620583414,74.7001459300491,69.7232333031935,72.6781187821387,76.75806191310261,81.8125949087611,84.0039966191267,80.8888134419712,83.8863961450286
